StewardID , OriginalCount , SimplifiedCount
'2395293', 23222, 11385
'2396558', 5207, 4006
'481811', 31321, 10722
'481812', 33894, 16796
'484969', 13800, 9168
'484972', 20892, 10649
'484973', 26200, 10658
'484974', 14391, 12265
'484976', 22697, 11071
'484977', 45040, 27570
'484981', 9502, 5816
'484982', 7616, 5016
'484983', 23111, 8871
'484986', 8401, 4871
'484987', 41267, 19871
'484989', 18123, 8188
'484990', 16471, 12208
'484991', 24929, 10267
'484992', 271475, 30622
'484993', 8736, 5110
'484996', 24284, 10536
'484997', 18929, 12947
'485001', 7453, 5309
'485002', 6894, 3355
'485004', 19552, 7991
'485006', 6357, 4673
'485005', 19741, 12791
'485007', 18828, 9609
'485009', 22830, 9877
'485010', 220556, 123124
'485011', 5508, 3544
'485012', 16642, 8983
'485013', 12857, 5211
'485015', 5941, 3231
'485017', 18966, 7690
'485021', 78968, 15075
'485022', 26996, 12469
'485023', 22185, 12935
'485024', 7133, 6281
'485025', 21755, 14913
'485026', 32951, 9243
'485028', 29828, 10110
'485029', 19976, 10281
'485031', 9562, 6296
'485032', 17257, 8820
'485034', 26809, 10391
'485035', 12021, 7963
'485037', 34431, 12296
'485039', 13304, 7625
'485040', 15232, 7068
'485042', 14769, 8158
'485043', 11143, 8793
'485044', 59878, 25450
'485045', 12575, 8887
'485049', 223185, 108395
'485051', 117084, 45205
'485052', 10873, 5714
'485053', 10080, 6906
'485054', 13104, 6516
'485055', 5863, 3586
'485056', 5715, 4052
'485058', 7551, 5855
'485059', 31901, 12050
'485060', 20446, 7021
'485061', 20054, 10962
'485062', 14586, 3438
'485099', 5630, 4142
'485135', 40737, 20442
'485327', 3905, 3199
'485328', 9227, 4474
'485358', 7666, 5749
'485557', 14644, 8796
'485559', 11847, 8542
'485579', 24225, 11915
'485589', 21311, 13525
'485595', 9, 5
'485597', 267374, 81072
'485600', 37120, 17214
'485601', 88065, 59707
'485608', 10153, 6689
'485613', 8890, 7362
'485647', 28032, 13404
'485649', 42369, 20293
