StewardID , OriginalCount , SimplifiedCount
'484998', 27590, 14882
'484994', 23724, 9315
'485571', 39508, 19636
'484978', 19734, 8643
'484979', 15648, 9604
'485575', 32211, 14820
'484970', 24658, 10658
'484971', 26112, 10862
'485556', 4590, 3156
'485016', 60605, 32630
'485610', 8562, 7051
'485014', 18979, 13369
'485030', 21296, 11499
'484985', 23548, 11348
'485033', 30864, 15569
'485598', 32071, 17307
'485038', 47716, 22336
'485018', 40303, 18588
'484988', 31529, 13084
'484980', 26540, 14733
'485063', 38160, 12177
'485601', 431, 261
'485064', 17855, 7977
'485003', 43049, 18170
'485643', 7665, 4541
'485008', 25988, 19148
