StewardID , OriginalCount , SimplifiedCount
'484998', 27590, 23100
'484994', 23724, 17519
'485571', 39508, 31239
'484978', 19734, 15610
'484979', 15648, 13192
'485575', 32211, 25226
'484970', 24658, 17952
'484971', 26112, 18959
'485556', 4590, 3987
'485016', 60605, 42908
'485610', 8562, 7803
'485014', 18979, 16184
'485030', 21296, 17582
'484985', 23548, 18061
'485033', 30864, 24936
'485598', 32071, 27046
'485038', 47716, 39268
'485018', 40303, 31462
'484988', 31529, 23367
'484980', 26540, 21192
'485063', 38160, 17709
'485601', 431, 324
'485064', 17855, 13768
'485003', 43049, 33509
'485643', 7665, 5768
'485008', 25988, 23460
