StewardID , OriginalCount , SimplifiedCount
'2395293', 23222, 13087
'2396558', 5207, 4484
'481811', 31321, 13189
'481812', 33894, 19049
'484969', 13800, 10617
'484972', 20892, 12670
'484973', 26200, 12764
'484974', 14391, 12766
'484976', 22697, 13569
'484977', 45040, 29798
'484981', 9502, 6573
'484982', 7616, 5724
'484983', 23111, 10958
'484986', 8401, 5643
'484987', 41267, 21870
'484989', 18123, 9569
'484990', 16471, 12773
'484991', 24929, 12279
'484992', 271475, 35059
'484993', 8736, 5745
'484996', 24284, 12558
'484997', 18929, 14235
'485001', 7453, 6099
'485002', 6894, 4061
'485004', 19552, 9721
'485006', 6357, 5037
'485005', 19741, 13744
'485007', 18828, 11132
'485009', 22830, 11930
'485010', 220556, 142640
'485011', 5508, 4027
'485012', 16642, 10223
'485013', 12857, 6220
'485015', 5941, 3853
'485017', 18966, 9240
'485021', 78968, 16743
'485022', 26996, 14565
'485023', 22185, 15163
'485024', 7133, 7021
'485025', 21755, 16974
'485026', 32951, 11628
'485028', 29828, 12722
'485029', 19976, 12554
'485031', 9562, 6939
'485032', 17257, 10186
'485034', 26809, 12827
'485035', 12021, 8846
'485037', 34431, 15838
'485039', 13304, 8609
'485040', 15232, 8342
'485042', 14769, 9253
'485043', 11143, 9442
'485044', 59878, 29651
'485045', 12575, 9884
'485049', 223185, 120079
'485051', 117084, 51613
'485052', 10873, 6552
'485053', 10080, 7478
'485054', 13104, 7679
'485055', 5863, 4046
'485056', 5715, 4275
'485058', 7551, 6245
'485059', 31901, 14919
'485060', 20446, 8981
'485061', 20054, 13249
'485062', 14586, 4411
'485099', 5630, 4463
'485135', 40737, 23918
'485327', 3905, 3609
'485328', 9227, 5634
'485358', 7666, 6031
'485557', 14644, 9767
'485559', 11847, 9504
'485579', 24225, 13610
'485589', 21311, 14764
'485595', 9, 6
'485597', 267374, 83218
'485600', 37120, 19639
'485601', 88065, 66218
'485608', 10153, 7200
'485613', 8890, 8236
'485647', 28032, 16098
'485649', 42369, 22979
