StewardID , OriginalCount , SimplifiedCount
'2395293', 23222, 9944
'2396558', 5207, 3562
'481811', 31321, 9241
'481812', 33894, 14467
'484969', 13800, 7242
'484972', 20892, 8761
'484973', 26200, 8641
'484974', 14391, 11601
'484976', 22697, 8621
'484977', 45040, 24536
'484981', 9502, 4955
'484982', 7616, 4159
'484983', 23111, 7126
'484986', 8401, 4081
'484987', 41267, 17583
'484989', 18123, 6736
'484990', 16471, 11316
'484991', 24929, 8026
'484992', 271475, 26118
'484993', 8736, 4452
'484996', 24284, 8628
'484997', 18929, 11749
'485001', 7453, 4653
'485002', 6894, 2802
'485004', 19552, 6763
'485006', 6357, 4090
'485005', 19741, 11616
'485007', 18828, 7973
'485009', 22830, 8001
'485010', 220556, 102694
'485011', 5508, 3141
'485012', 16642, 7643
'485013', 12857, 4391
'485015', 5941, 2802
'485017', 18966, 6342
'485021', 78968, 13232
'485022', 26996, 10735
'485023', 22185, 10388
'485024', 7133, 5491
'485025', 21755, 12510
'485026', 32951, 7371
'485028', 29828, 8124
'485029', 19976, 8153
'485031', 9562, 5523
'485032', 17257, 7451
'485034', 26809, 8289
'485035', 12021, 6862
'485037', 34431, 9347
'485039', 13304, 6800
'485040', 15232, 5818
'485042', 14769, 7091
'485043', 11143, 7900
'485044', 59878, 21018
'485045', 12575, 7524
'485049', 223185, 95470
'485051', 117084, 39111
'485052', 10873, 5036
'485053', 10080, 6205
'485054', 13104, 5496
'485055', 5863, 3054
'485056', 5715, 3813
'485058', 7551, 5288
'485059', 31901, 9443
'485060', 20446, 5262
'485061', 20054, 8641
'485062', 14586, 2935
'485099', 5630, 3788
'485135', 40737, 16846
'485327', 3905, 2738
'485328', 9227, 3598
'485358', 7666, 5359
'485557', 14644, 7872
'485559', 11847, 7414
'485579', 24225, 10550
'485589', 21311, 12084
'485595', 9, 4
'485597', 267374, 78957
'485600', 37120, 14687
'485601', 88065, 51370
'485608', 10153, 5899
'485613', 8890, 6505
'485647', 28032, 10939
'485649', 42369, 17781
