StewardID , OriginalCount , SimplifiedCount
'484998', 27590, 12275
'484994', 23724, 6614
'485571', 39508, 16062
'484978', 19734, 6181
'484979', 15648, 6804
'485575', 32211, 11324
'484970', 24658, 8668
'484971', 26112, 8195
'485556', 4590, 2870
'485016', 60605, 28151
'485610', 8562, 6347
'485014', 18979, 10959
'485030', 21296, 9402
'484985', 23548, 9075
'485033', 30864, 11795
'485598', 32071, 13595
'485038', 47716, 16376
'485018', 40303, 14098
'484988', 31529, 10503
'484980', 26540, 12098
'485063', 38160, 9377
'485601', 431, 249
'485064', 17855, 6108
'485003', 43049, 12891
'485643', 7665, 4167
'485008', 25988, 14715
