StewardID , OriginalCount , SimplifiedCount
'484998', 27590, 18044
'484994', 23724, 12687
'485571', 39508, 24151
'484978', 19734, 11384
'484979', 15648, 11758
'485575', 32211, 18821
'484970', 24658, 13818
'484971', 26112, 14187
'485556', 4590, 3470
'485016', 60605, 37273
'485610', 8562, 7497
'485014', 18979, 15224
'485030', 21296, 14134
'484985', 23548, 14369
'485033', 30864, 19490
'485598', 32071, 21058
'485038', 47716, 28631
'485018', 40303, 23456
'484988', 31529, 17159
'484980', 26540, 17476
'485063', 38160, 14924
'485601', 431, 286
'485064', 17855, 10187
'485003', 43049, 24546
'485643', 7665, 4952
'485008', 25988, 21812
