StewardID , OriginalCount , SimplifiedCount
'484998', 27590, 15885
'484994', 23724, 10449
'485571', 39508, 21018
'484978', 19734, 9537
'484979', 15648, 10567
'485575', 32211, 16132
'484970', 24658, 11733
'484971', 26112, 11996
'485556', 4590, 3258
'485016', 60605, 34456
'485610', 8562, 7262
'485014', 18979, 14249
'485030', 21296, 12440
'484985', 23548, 12404
'485033', 30864, 16941
'485598', 32071, 18454
'485038', 47716, 24240
'485018', 40303, 20041
'484988', 31529, 14425
'484980', 26540, 15704
'485063', 38160, 13281
'485601', 431, 270
'485064', 17855, 8699
'485003', 43049, 20280
'485643', 7665, 4650
'485008', 25988, 20454
