StewardID , OriginalCount , SimplifiedCount
'2395293', 23222, 18953
'2396558', 5207, 5685
'481811', 31321, 21530
'481812', 33894, 25180
'484969', 13800, 12357
'484972', 20892, 17118
'484973', 26200, 21609
'484974', 14391, 13613
'484976', 22697, 18650
'484977', 45040, 34636
'484981', 9502, 8230
'484982', 7616, 6819
'484983', 23111, 17571
'484986', 8401, 7436
'484987', 41267, 25972
'484989', 18123, 14339
'484990', 16471, 13773
'484991', 24929, 20517
'484992', 271475, 46220
'484993', 8736, 7452
'484996', 24284, 19305
'484997', 18929, 17234
'485001', 7453, 7648
'485002', 6894, 5669
'485004', 19552, 15639
'485006', 6357, 5639
'485005', 19741, 17029
'485007', 18828, 15574
'485009', 22830, 17923
'485010', 220556, 178701
'485011', 5508, 5422
'485012', 16642, 14027
'485013', 12857, 9740
'485015', 5941, 5663
'485017', 18966, 14158
'485021', 78968, 21650
'485022', 26996, 21582
'485023', 22185, 18324
'485024', 7133, 9059
'485025', 21755, 19686
'485026', 32951, 21003
'485028', 29828, 22125
'485029', 19976, 16711
'485031', 9562, 7833
'485032', 17257, 14401
'485034', 26809, 20830
'485035', 12021, 10290
'485037', 34431, 26114
'485039', 13304, 11056
'485040', 15232, 12756
'485042', 14769, 12617
'485043', 11143, 10491
'485044', 59878, 48095
'485045', 12575, 11207
'485049', 223185, 148704
'485051', 117084, 71183
'485052', 10873, 8959
'485053', 10080, 8950
'485054', 13104, 10491
'485055', 5863, 4934
'485056', 5715, 4893
'485058', 7551, 6874
'485059', 31901, 25218
'485060', 20446, 14456
'485061', 20054, 16464
'485062', 14586, 8844
'485099', 5630, 5150
'485135', 40737, 31983
'485327', 3905, 4619
'485328', 9227, 8083
'485358', 7666, 6595
'485557', 14644, 12537
'485559', 11847, 10662
'485579', 24225, 18458
'485589', 21311, 17204
'485595', 9, 7
'485597', 267374, 90918
'485600', 37120, 30231
'485601', 88065, 77149
'485608', 10153, 8560
'485613', 8890, 10541
'485647', 28032, 22239
'485649', 42369, 33013
