StewardID , OriginalCount , SimplifiedCount
'2395293', 23222, 14900
'2396558', 5207, 4911
'481811', 31321, 16087
'481812', 33894, 21112
'484969', 13800, 11447
'484972', 20892, 14426
'484973', 26200, 15341
'484974', 14391, 13214
'484976', 22697, 15660
'484977', 45040, 31584
'484981', 9502, 7191
'484982', 7616, 6243
'484983', 23111, 13390
'484986', 8401, 6350
'484987', 41267, 23512
'484989', 18123, 11084
'484990', 16471, 13238
'484991', 24929, 14519
'484992', 271475, 38964
'484993', 8736, 6391
'484996', 24284, 14767
'484997', 18929, 15387
'485001', 7453, 6688
'485002', 6894, 4795
'485004', 19552, 11881
'485006', 6357, 5343
'485005', 19741, 14772
'485007', 18828, 12556
'485009', 22830, 13923
'485010', 220556, 158168
'485011', 5508, 4535
'485012', 16642, 11747
'485013', 12857, 7376
'485015', 5941, 4636
'485017', 18966, 10823
'485021', 78968, 18549
'485022', 26996, 16945
'485023', 22185, 16682
'485024', 7133, 7729
'485025', 21755, 18279
'485026', 32951, 14565
'485028', 29828, 15705
'485029', 19976, 14269
'485031', 9562, 7373
'485032', 17257, 11483
'485034', 26809, 15310
'485035', 12021, 9502
'485037', 34431, 19299
'485039', 13304, 9502
'485040', 15232, 9624
'485042', 14769, 10457
'485043', 11143, 9972
'485044', 59878, 34896
'485045', 12575, 10463
'485049', 223185, 130361
'485051', 117084, 57862
'485052', 10873, 7399
'485053', 10080, 8007
'485054', 13104, 8805
'485055', 5863, 4433
'485056', 5715, 4516
'485058', 7551, 6531
'485059', 31901, 17968
'485060', 20446, 11043
'485061', 20054, 14810
'485062', 14586, 5778
'485099', 5630, 4759
'485135', 40737, 27041
'485327', 3905, 3963
'485328', 9227, 6559
'485358', 7666, 6318
'485557', 14644, 10724
'485559', 11847, 10067
'485579', 24225, 15559
'485589', 21311, 15704
'485595', 9, 6
'485597', 267374, 85499
'485600', 37120, 22549
'485601', 88065, 70793
'485608', 10153, 7722
'485613', 8890, 9035
'485647', 28032, 18579
'485649', 42369, 26133
